direct-end,1007
organicsearch-end,535
brandedpaid-end,252
direct-direct-end,222
organicsearch-direct-end,139
organicsearch-end,90
direct-direct-direct-end,87
nonbrandpaid-end,83
brandedpaid-direct-end,67
yelp-end,62
organicsearch-organicsearch-end,45
referral-end,44
brandedpaid-brandedpaid-end,39
direct-direct-direct-direct-end,32
organicsearch-direct-direct-end,32
direct-organicsearch-end,29
nonbrandpaid-direct-end,23
organicsearch-direct-end,19
yelp-direct-end,19
brandedpaid-organicsearch-end,19
organicsearch-organicsearch-direct-end,18
nonbrandpaid-organicsearch-end,17
organicsearch-end,16
organicsearch-brandedpaid-end,15
yelp-organicsearch-end,13
organicsearch-organicsearch-organicsearch-end,13
brandedpaid-direct-direct-end,13
direct-brandedpaid-end,12
organicsearch-organicsearch-end,11
brandedpaid-brandedpaid-direct-end,10
nonbrandpaid-nonbrandpaid-end,10
organicsearch-organicsearch-end,9
direct-direct-direct-direct-direct-end,9
organicsearch-direct-direct-direct-end,9
direct-direct-direct-direct-direct-direct-end,7
organicsearch-direct-organicsearch-end,7
brandedpaid-direct-organicsearch-end,7
nonbrandpaid-direct-direct-end,7
nonbrandpaid-brandedpaid-end,7
organicsearch-direct-direct-end,6
brandedpaid-direct-direct-direct-end,6
brandedpaid-organicsearch-direct-end,6
direct-direct-organicsearch-end,5
direct-nonbrandpaid-end,5
referral-direct-end,5
organicsearch-brandedpaid-direct-end,5
brandedpaid-brandedpaid-brandedpaid-end,5
direct-direct-direct-direct-direct-direct-direct-end,4
direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-end,4
direct-referral-end,4
direct-organicsearch-direct-end,4
Angies-end,4
yelp-direct-direct-end,4
referral-direct-direct-end,4
referral-organicsearch-end,4
organicsearch-yelp-end,4
organicsearch-organicsearch-end,4
organicsearch-organicsearch-direct-direct-direct-end,4
organicsearch-direct-end,4
nonbrandpaid-nonbrandpaid-organicsearch-end,4
direct-direct-direct-direct-direct-direct-direct-direct-end,3
direct-direct-direct-direct-direct-direct-direct-direct-direct-end,3
direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-end,3
direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-end,3
direct-direct-brandedpaid-end,3
direct-email-end,3
direct-organicsearch-end,3
direct-nonbrandpaid-direct-end,3
yelp-brandedpaid-end,3
organicsearch-organicsearch-direct-direct-end,3
organicsearch-organicsearch-organicsearch-direct-end,3
organicsearch-brandedpaid-brandedpaid-end,3
brandedpaid-direct-brandedpaid-end,3
brandedpaid-organicsearch-organicsearch-end,3
brandedpaid-organicsearch-brandedpaid-end,3
brandedpaid-nonbrandpaid-end,3
nonbrandpaid-referral-end,3
nonbrandpaid-organicsearch-direct-end,3
nonbrandpaid-nonbrandpaid-direct-end,3
organicsearch-direct-organicsearch-end,2
organicsearch-direct-direct-direct-end,2
organicsearch-referral-end,2
direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-end,2
direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-end,2
direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-end,2
direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-direct-end,2
direct-direct-direct-organicsearch-end,2
direct-direct-organicsearch-brandedpaid-end,2
direct-referral-direct-end,2
